2.5.4.1, 1.00, 45.61, 0.01396
2.5.4.2, 1.00, 27.23, 0.01718
2.5.4.3, 1.00, 80.60, 0.00627
2.5.5.1, 1.00, 30.55, 0.01757
2.5.5.2, 1.00, 21.33, 0.02060
2.5.5.3, 1.00, 57.54, 0.01128
3.1.1, -1.0, 55.42, 0.00968
3.1.2, -1.0, 39.63, 0.01254
3.1.3, -1.0, 89.70, 0.00236
3.2.1, -1.0, 51.71, 0.01146
3.2.2, -1.0, 31.61, 0.02015
3.2.3, -1.0, 95.15, 0.00137
